Metadata,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,
Scheiner SM and Lyman RF. 1991. The genetics of phenotypic plasticity. II. Response to selection. Journal of Evolutionary Biology 4:23-50.,,,,,,,,
See Materials and Methods section for details.,,,,,,,,
,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,
,,,,,,,,
Data columns,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,
Col 4 = Generation (1-16 for 25C and 19C  -21 or -22 for Plasticity and Control),,,,,,,,
Col 5 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,
Col 6 = Family,,,,,,,,
Col 7 = Replicate vial within family and rearing temperature,,,,,,,,
Col 8 = Individual within vial,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,
,,,,,,,,
Data,,,,,,,,
________________________________________________________________________,,,,,,,,
4,3,1,1,2,39,2,7,1.11212
4,3,1,1,2,39,2,8,1.079539
4,3,1,1,2,39,2,9,1.125896
4,3,1,1,2,41,1,1,1.075603
4,3,1,1,2,41,1,2,1.049145
4,3,1,1,2,41,1,3,1.062046
4,3,1,1,2,41,2,7,1.129176
4,3,1,1,2,41,2,8,1.114963
4,3,1,1,2,41,2,9,0.957088
4,3,1,1,2,42,1,1,1.121085
4,3,1,1,2,42,1,2,1.109059
4,3,1,1,2,42,1,3,1.128301
4,3,1,1,2,43,1,1,1.063577
4,3,1,1,2,43,1,2,1.069699
4,3,1,1,2,43,1,3,1.012191
4,3,1,1,2,43,2,7,1.079539
4,3,1,1,2,43,2,8,1.078009
4,3,1,1,2,43,2,9,1.108621
4,3,1,1,2,44,1,1,1.038431
4,3,1,1,2,44,1,2,1.063795
4,3,1,1,2,44,1,3,1.047177
4,3,1,1,2,45,1,1,1.043897
4,3,1,1,2,45,1,2,1.092659
4,3,1,1,2,45,1,3,1.09747
4,3,1,1,2,45,2,7,1.08916
4,3,1,1,2,45,2,8,1.043241
4,3,1,1,2,45,2,9,1.049145
4,3,1,1,2,46,1,1,1.137704
4,3,1,1,2,46,1,2,1.126771
4,3,1,1,2,46,1,3,1.120429
4,3,1,1,2,47,1,1,1.135517
4,3,1,1,2,47,1,2,1.149949
4,3,1,1,2,47,1,3,1.136829
4,3,1,1,2,48,1,1,1.09747
4,3,1,1,2,48,1,2,1.083038
4,3,1,1,2,48,1,3,1.097688
4,3,1,1,2,49,1,1,1.103155
4,3,1,1,2,49,1,2,1.1318
4,3,1,1,2,49,1,3,1.067075
4,3,1,1,2,50,1,1,1.087411
4,3,1,1,2,50,1,2,1.082382
4,3,1,1,2,50,1,3,1.072105
4,3,1,1,2,26,1,1,1.092878
4,3,1,1,2,26,1,2,1.088723
4,3,1,1,2,26,1,3,1.06467
4,3,1,1,2,27,1,1,1.123928
4,3,1,1,2,27,2,7,1.098563
4,3,1,1,2,27,2,8,1.09419
4,3,1,1,2,27,2,9,1.030559
4,3,1,1,2,28,1,1,1.073854
4,3,1,1,2,28,1,2,1.078446
4,3,1,1,2,28,1,3,1.144045
4,3,1,1,2,28,2,7,1.104904
4,3,1,1,2,28,2,8,1.113869
4,3,1,1,2,29,1,1,1.057017
4,3,1,1,2,29,1,2,1.023343
4,3,1,1,2,29,1,3,1.069481
4,3,1,1,2,30,1,1,1.097032
4,3,1,1,2,30,1,2,1.107528
4,3,1,1,2,30,1,3,1.094627
4,3,1,1,2,30,2,7,1.064451
4,3,1,1,2,30,2,8,1.098344
4,3,1,1,2,30,2,9,1.103811
4,3,1,1,2,31,1,1,1.11212
4,3,1,1,2,31,1,2,1.114307
4,3,1,1,2,31,1,3,1.112557
4,3,1,1,2,31,2,7,1.085225
4,3,1,1,2,31,2,8,1.091128
4,3,1,1,2,31,2,9,1.105123
4,3,1,1,2,32,1,1,1.08107
4,3,1,1,2,32,1,2,1.111901
4,3,1,1,2,32,1,3,1.125458
4,3,1,1,2,33,1,1,0.983765
4,3,1,1,2,33,1,2,1.088504
4,3,1,1,2,33,1,3,1.05811
4,3,1,1,2,33,2,7,1.071886
4,3,1,1,2,33,2,8,1.119773
4,3,1,1,2,33,2,9,1.082819
4,3,1,1,2,34,1,1,1.062484
4,3,1,1,2,34,1,2,1.049364
4,3,1,1,2,34,1,3,1.122835
