5,1,25,1.097,44,11,50.33333,6,591,59,43,132,140,84,85,32,5,5,5
5,2,19,1.14,46,13,35.66667,56,572,4,11,35,97,88,95,72,77,30,26
5,2,19,1.144,66,17,16,5,332,0,4,14,15,40,45,46,31,36,28
5,2,19,1.105,49,17,11.33333,26,192,3,15,26,29,23,26,7,17,13,7
5,2,19,1.122,99,18,23.33333,7,519,1,14,32,48,50,70,62,44,52,37
5,2,25,1.173,39,9,41.66667,48,515,48,48,125,109,36,41,30,30,19,23
5,2,25,1.147,50,7,23,1,175,35,60,33,19,12,3,7,2,2,1
5,2,25,1.118,53,11,41.66667,33,591,8,36,84,110,110,88,37,16,30,26
5,3,19,1.129,81,24,32.33333,0,566,15,6,13,55,83,77,65,97,56,46
5,3,19,1.098,53,13,35.33333,39,574,0,18,85,93,78,59,58,41,36,24
5,3,19,1.135,44,14,31.33333,71,509,2,17,6,58,93,89,89,46,38,26
5,3,25,1.054,32,9,44.33333,19,565,14,92,133,103,115,86,6,11,1,0
5,3,25,1.037,60,10,41.33333,0,352,17,53,117,89,51,13,5,6,1,0
5,3,25,1.123,44,6,73.33334,0,800,28,220,152,137,143,81,35,2,2,0
5,3,25,1.073,51,9,27,0,329,0,59,81,72,39,31,24,9,7,4
6,1,19,1.105,87,13,19.66667,0,347,8,7,12,47,48,54,42,30,18,22
6,1,19,1.075,45,38,0.66667,3,4,0,0,0,0,0,0,0,1,0,1
6,1,19,1.119,82,30,21.33333,1,427,6,5,24,40,51,48,52,48,27,64
6,1,19,1.105,73,15,23,1,395,7,4,1,13,69,64,58,42,29,48
6,1,25,1.105,25,10,0.66667,1,4,0,1,1,1,0,0,1,0,0,0
6,1,25,1.063,57,10,38.66667,2,646,23,48,112,95,65,56,95,84,24,15
6,1,25,1.085,68,9,51.33333,0,902,49,55,154,120,83,73,80,109,80,16
6,1,25,1.098,47,10,60,22,781,12,40,180,137,140,97,57,32,35,32
6,1,25,1.098,57,10,75,0,881,20,49,188,210,154,108,77,47,17,8
6,1,25,1.113,38,11,51.66667,6,545,16,42,149,142,96,64,16,16,4,0
6,3,19,1.106,39,16,33.33333,67,374,10,11,10,59,69,77,48,23,24,13
6,3,19,1.105,69,13,40,1,643,5,14,43,100,94,111,92,77,45,41
6,3,19,1.103,37,23,8,13,87,0,11,4,0,21,10,15,20,0,2
6,3,19,1.147,52,17,33.33333,81,617,9,7,21,78,93,96,86,67,46,26
6,3,25,1.01,62,9,34.33333,0,477,0,18,103,78,42,54,43,36,79,19
6,3,25,1.086,29,7,65,46,717,9,154,175,128,145,92,8,3,3,0
6,3,25,1.044,42,18,50.33333,33,742,18,40,96,89,135,151,100,63,19,16
8,1,19,1.089,38,20,24,150,484,15,3,43,63,64,56,60,58,47,40
8,1,19,1.135,71,20,16.33333,36,298,4,14,5,22,49,31,44,36,12,13
8,1,19,1.134,60,16,28.33333,6,460,0,17,21,56,72,67,51,33,21,66
8,1,19,1.076,52,20,27.33333,33,363,3,7,8,32,57,70,57,43,17,21
8,1,25,1.12,39,8,47.33333,0,381,11,71,140,90,51,17,1,0,0,0
8,1,25,1.094,32,12,38.33333,57,438,6,25,84,115,88,47,34,23,16,0
8,1,25,1.094,41,11,50.66667,1,561,16,76,131,141,106,63,25,2,1,0
8,1,25,1.069,33,10,51.33333,8,493,19,36,144,120,104,58,7,4,1,0
8,3,19,1.066,62,17,30,32,494,6,14,10,38,59,82,71,76,37,19
8,3,19,1.132,68,15,18,9,323,4,8,19,30,54,35,38,12,22,20
8,3,19,1.107,43,21,30,84,480,13,10,11,25,73,63,90,67,57,33
